user_id,movie_id,rating
1,420634,8.4
1,453395,5.3
1,663712,1.5
1,436270,6.3
1,732459,8.6
2,420634,6.6
2,675054,5.4
2,985939,2.6
2,717728,4.1
2,642885,7.9
3,86328,5.3
3,760161,5.3
3,575322,1.5
3,354912,6.3
3,928123,8.6
4,718930,6.6
4,532639,5.4
4,960704,2.6
4,779782,4.1
4,848058,7.9
5,916719,5.3
5,616037,6.6
5,616820,5.4
5,879538,2.6
5,791155,4.1
6,848791,7.9
6,900667,5.3
6,49046,5.3
6,539681,6.6
6,766507,5.4
7,507086,2.6
7,1034541,4.1
7,76600,7.9
7,610150,5.3
7,438148,5.3
8,884363,1.5
8,361743,6.3
8,852046,8.6
8,19995,6.6
8,916605,5.4
9,882598,2.6
9,759507,4.1
9,848526,7.9
9,634649,5.3
9,675353,6.6
10,760741,5.4
10,619730,2.6
10,453395,2.6
10,913290,4.1
10,820067,7.9
11,1024530,5.3
11,756999,5.3
11,1032950,1.5
11,969160,6.3
11,585511,8.6
12,629176,6.6
12,810693,5.4
12,1033107,2.6
12,366672,4.1
12,851644,7.9
13,429473,5.3
13,1005776,6.6
13,505642,5.4
13,883083,2.6
13,993145,4.1
14,1034470,7.9
14,335795,5.3
14,886396,5.3
14,568124,6.6
14,718789,5.4
15,744276,2.6
15,508947,4.1
15,635302,7.9
15,941959,5.3
15,579974,5.3
16,414906,1.5
16,1015724,6.3
16,800939,8.6
16,585083,6.6
16,924482,5.4
17,1015602,2.6
17,1029446,4.1
17,962232,7.9
17,961427,2.6
17,801071,4.1
18,864959,7.9
18,511817,5.3
18,752623,6.6
18,960700,5.4
18,338953,2.6
19,541134,4.1
19,921360,7.9
19,768744,5.3
19,773867,5.3
19,629542,6.6
20,580489,5.4
20,1007401,2.6
20,931925,4.1
20,834734,7.9
20,961484,5.3
21,299536,5.3
21,975120,1.5
21,701952,6.3
21,830788,8.6
21,43641,6.6
22,639933,5.4
22,438695,2.6
22,782054,4.1
22,459151,7.9
22,919355,5.3
23,955644,6.6
23,848123,5.4
23,904039,2.6
23,526896,2.6
23,960875,4.1
24,818397,7.9
24,831410,5.3
24,836225,5.3
24,724495,1.5
24,1025169,6.3
25,897338,8.6
25,597922,6.6
25,626735,5.4
25,474350,2.6
25,999205,4.1
26,968857,7.9
26,3933,5.3
26,335787,6.6
26,1006851,5.4
26,829560,2.6
27,843241,4.1
27,1008779,7.9
27,932339,5.3
27,1012801,6.6
27,843633,5.4
28,877957,2.6
28,337404,4.1
28,1010818,7.9
28,9479,5.3
28,951368,5.3
29,755566,6.6
29,774825,5.4
29,671,2.6
29,672,4.1
29,508943,7.9
30,798544,5.3
30,576925,5.3
30,484907,1.5
30,762504,6.3
30,791373,8.6
31,111332,6.6
31,1014226,5.4
31,674,2.6
31,838197,4.1
31,524434,7.9
32,820232,5.3
32,566525,6.6
32,324786,5.4
32,927341,2.6
32,894205,2.6
33,829280,4.1
33,303857,7.9
33,808,5.3
33,667276,5.3
33,803114,1.5
34,767,6.3
34,1010821,8.6
34,14836,6.6
34,802699,5.4
34,406759,2.6
35,759175,4.1
35,997120,1.5
35,347201,6.3
35,560057,8.6
35,673,6.6
36,610253,5.4
36,460465,2.6
36,760104,4.1
36,781099,7.9
36,423108,5.3
37,602223,6.6
37,675,5.4
37,436969,2.6
37,20982,2.6
37,635891,4.1
38,1022206,7.9
38,726684,5.3
38,830784,5.3
38,725201,1.5
38,860623,6.3
39,299534,8.6
39,287003,6.6
39,873125,5.4
39,585245,2.6
39,826769,4.1
40,804413,7.9
40,829557,5.3
40,460458,6.6
40,11932,5.4
40,772450,2.6
41,714888,4.1
41,10439,7.9
41,820067,5.3
41,1024530,5.3
41,361743,6.6
42,760741,5.4
42,1005776,2.6
42,913290,4.1
42,985939,7.9
42,575322,5.3
43,76600,5.3
43,760741,1.5
43,1005776,6.3
43,19995,8.6
43,49046,6.6
44,848526,5.4
44,414906,2.6
44,1034541,4.1
44,1015724,7.9
44,579974,2.6
45,961427,4.1
45,864959,7.9
45,635302,5.3
45,9479,6.6
45,366672,5.4
45,1034470,2.6
46,1005776,4.1
46,718930,7.9
46,913290,5.3
46,810693,5.3
46,43641,6.6
47,810693,5.4
47,864959,2.6
47,864959,4.1
47,610253,7.9
47,667276,5.3
48,838197,5.3
48,1022206,1.5
48,424139,6.3
48,337404,8.6
48,877957,6.6
49,646385,5.4
49,762504,2.6
49,1010818,4.1
49,643274,7.9
49,759507,5.3
50,779782,6.6
50,848058,5.4
50,916719,2.6
50,879538,2.6
50,791155,4.1
51,616037,7.9
51,848791,5.3
51,852046,5.3
51,884363,1.5
51,916605,6.3
52,766507,8.6
52,507086,6.6
52,759507,5.4
52,1034470,2.6
52,1005776,4.1
53,864959,7.9
53,864959,5.3
53,610253,6.6
53,848791,5.4
53,852046,2.6
54,884363,4.1
54,420634,7.9
54,453395,5.3
54,675353,6.6
54,507086,5.4
55,830784,2.6
55,1033107,4.1
55,303857,7.9
55,12445,5.3
55,628900,5.3
56,945675,6.6
56,675,5.4
56,761898,2.6
56,962232,4.1
56,1023086,7.9
57,759507,5.3
57,820067,5.3
57,1024530,1.5
57,361743,6.3
57,760741,8.6
58,864959,6.6
58,610253,5.4
58,667276,2.6
58,838197,4.1
58,1022206,7.9
58,424139,5.3
59,848526,6.6
59,414906,5.4
59,1034541,2.6
59,1015724,2.6
59,579974,4.1
60,759507,7.9
60,732459,5.3
60,886396,5.3
60,629176,1.5
60,886396,6.3
61,877957,8.6
61,646385,6.6
61,762504,5.4
61,1010818,2.6
61,643274,4.1
62,76600,5.3
62,1015724,1.5
62,579974,6.3
62,961427,8.6
62,864959,6.6
63,782054,5.4
63,1005776,2.6
63,718930,4.1
63,913290,7.9
63,810693,5.3
64,43641,5.3
64,810693,1.5
64,864959,6.3
64,864959,8.6
64,610253,6.6
65,848123,5.4
65,1024530,2.6
65,460465,4.1
65,883083,7.9
65,962232,5.3
66,928123,6.6
66,484907,5.4
66,424139,2.6
66,848526,4.1
66,414906,7.9
67,1034541,5.3
67,1015724,5.3
67,962232,6.6
67,928123,5.4
67,484907,2.6
68,773867,4.1
68,484907,7.9
68,597922,5.3
68,768744,5.3
68,975120,1.5
69,725201,6.3
69,157336,8.6
69,945675,6.6
69,675,5.4
69,761898,2.6
70,759507,4.1
70,820067,7.9
70,1024530,5.3
70,361743,6.6
70,760741,5.4
71,851644,2.6
71,810693,2.6
71,744276,4.1
71,484907,7.9
71,773867,5.3
72,76600,5.3
72,1015724,1.5
72,579974,6.3
72,961427,8.6
